Happy,Angry,Surprise,Sad,Fear
0.25,0.0,0.25,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.33,0.33,0.0,0.33,0.0
0.67,0.0,0.0,0.33,0.0
0.0,0.0,0.25,0.25,0.5
0.17,0.17,0.0,0.17,0.5
0.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.5,0.5
0.0,0.17,0.33,0.17,0.33
0.25,0.0,0.25,0.25,0.25
0.5,0.5,0.0,0.0,0.0
0.12,0.12,0.12,0.24,0.41
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.33,0.33,0.0,0.33,0.0
0.0,0.0,0.0,0.25,0.75
0.25,0.5,0.0,0.0,0.25
0.0,0.0,0.0,0.33,0.67
0.33,0.0,0.0,0.33,0.33
0.0,0.5,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.0,0.17,0.0,0.5,0.33
1.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.0,0.25
1.0,0.0,0.0,0.0,0.0
0.12,0.25,0.0,0.38,0.25
0.0,0.5,0.5,0.0,0.0
0.2,0.0,0.0,0.3,0.5
0.67,0.0,0.0,0.33,0.0
0.2,0.0,0.0,0.2,0.6
0.5,0.0,0.0,0.5,0.0
0.33,0.0,0.33,0.33,0.0
0.4,0.0,0.0,0.2,0.4
1.0,0.0,0.0,0.0,0.0
0.0,0.4,0.1,0.3,0.2
0.33,0.11,0.22,0.0,0.33
0.14,0.29,0.14,0.0,0.43
0.0,0.45,0.09,0.18,0.27
0.14,0.29,0.29,0.29,0.0
0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.17,0.0,0.0,0.17,0.67
0.33,0.0,0.33,0.0,0.33
0.0,0.0,0.0,0.5,0.5
0.29,0.14,0.0,0.43,0.14
0.31,0.15,0.08,0.15,0.31
0.0,0.0,0.2,0.4,0.4
0.0,1.0,0.0,0.0,0.0
0.29,0.0,0.0,0.14,0.57
0.5,0.25,0.0,0.0,0.25
0.6,0.2,0.0,0.0,0.2
0.0,0.5,0.0,0.0,0.5
0.14,0.14,0.29,0.29,0.14
0.33,0.33,0.0,0.17,0.17
0.0,0.33,0.08,0.25,0.33
0.0,0.33,0.33,0.0,0.33
0.38,0.12,0.0,0.25,0.25
0.5,0.0,0.5,0.0,0.0
0.0,0.22,0.11,0.44,0.22
0.5,0.5,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.33,0.33,0.0,0.33,0.0
0.36,0.27,0.0,0.0,0.36
0.15,0.15,0.23,0.08,0.38
0.33,0.5,0.0,0.0,0.17
0.5,0.5,0.0,0.0,0.0
0.33,0.0,0.0,0.33,0.33
0.29,0.0,0.57,0.0,0.14
0.44,0.11,0.0,0.33,0.11
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,0.5
0.67,0.0,0.0,0.33,0.0
0.06,0.06,0.11,0.56,0.22
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.33,0.0,0.33,0.0,0.33
0.25,0.12,0.25,0.0,0.38
0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.4,0.4,0.0
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.2,0.0,0.4
0.0,0.0,0.67,0.33,0.0
0.0,0.0,0.0,0.67,0.33
0.08,0.08,0.17,0.5,0.17
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.33,0.0,0.33,0.33
0.5,0.5,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.83,0.17
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.15,0.1,0.05,0.5,0.2
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.25,0.25,0.0
0.5,0.0,0.0,0.5,0.0
0.33,0.33,0.0,0.33,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.14,0.0,0.14,0.29,0.43
0.0,1.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.25,0.0,0.25,0.25,0.25
